iter	Passed	Remaining
868	2263	341
869	2265	338
870	2267	335
871	2269	333
872	2272	330
873	2274	327
874	2276	325
875	2279	322
876	2281	319
877	2283	317
878	2285	314
879	2288	312
880	2290	309
881	2292	306
882	2295	304
883	2297	301
884	2299	298
885	2301	296
886	2303	293
887	2306	290
888	2309	288
889	2311	285
890	2313	283
891	2316	280
892	2318	277
893	2320	275
894	2323	272
895	2325	269
896	2327	267
897	2330	264
898	2332	262
899	2334	259
900	2337	256
901	2339	254
902	2341	251
903	2344	248
904	2346	246
905	2349	243
906	2351	241
907	2353	238
908	2355	235
909	2358	233
910	2360	230
911	2362	227
912	2365	225
913	2367	222
914	2369	220
915	2371	217
916	2374	214
917	2376	212
918	2379	209
919	2381	207
920	2384	204
921	2386	201
922	2388	199
923	2390	196
924	2393	194
925	2395	191
926	2397	188
927	2400	186
928	2402	183
929	2404	181
930	2406	178
931	2409	175
932	2411	173
933	2414	170
934	2416	167
935	2418	165
936	2420	162
937	2423	160
938	2425	157
939	2427	154
940	2430	152
941	2432	149
942	2435	147
943	2437	144
944	2440	142
945	2442	139
946	2444	136
947	2447	134
948	2449	131
949	2451	129
950	2454	126
951	2456	123
952	2458	121
953	2461	118
954	2463	116
955	2465	113
956	2467	110
957	2470	108
958	2472	105
959	2474	103
960	2477	100
961	2479	97
962	2482	95
963	2484	92
964	2486	90
965	2489	87
966	2491	85
967	2493	82
968	2495	79
969	2498	77
970	2500	74
971	2503	72
972	2505	69
973	2508	66
974	2510	64
975	2512	61
976	2514	59
977	2517	56
978	2519	54
979	2522	51
980	2524	48
981	2526	46
982	2528	43
983	2531	41
984	2533	38
985	2536	36
986	2538	33
987	2540	30
988	2543	28
989	2545	25
990	2547	23
991	2550	20
992	2552	17
993	2554	15
994	2557	12
995	2559	10
996	2561	7
997	2563	5
998	2565	2
999	2568	0
